so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
2,256,800,2,16,32,0.667535,60,60
2,256,800,2,32,2,2.79271,60,61
2,256,800,2,32,4,1.499197,60,61
2,256,800,2,32,8,0.982392,60,61
2,256,800,2,32,16,0.701455,60,61
2,256,800,2,64,2,1.584746,60,61
2,256,800,2,64,4,1.029683,60,61
2,256,800,2,64,8,0.744009,60,61
2,256,800,4,2,2,18.874317,60,65
2,256,800,4,2,4,9.923731,60,63
2,256,800,4,2,8,5.038888,60,62
2,256,800,4,2,16,2.646367,60,61
2,256,800,4,2,32,1.369805,60,61
2,256,800,4,2,64,0.900316,60,61
2,256,800,4,4,2,10.049325,60,63
2,256,800,4,4,4,5.168867,60,62
2,256,800,4,4,8,2.653882,60,61
2,256,800,4,4,16,1.414297,60,61
2,256,800,4,4,32,0.92768,60,61
2,256,800,4,4,64,0.661676,60,61
2,256,800,4,8,2,5.208857,60,62
2,256,800,4,8,4,2.72488,60,61
2,256,800,4,8,8,1.44376,60,61
2,256,800,4,8,16,0.958632,60,61
2,256,800,4,8,32,0.699617,60,61
2,256,800,4,16,2,2.772117,60,61
2,256,800,4,16,4,1.49323,60,61
2,256,800,4,16,8,0.981636,60,61
2,256,800,4,16,16,0.72691,60,61
2,256,800,4,32,2,1.581278,60,61
2,256,800,4,32,4,1.034273,60,61
2,256,800,4,32,8,0.768997,60,61
2,256,800,4,64,2,1.089685,60,61
2,256,800,4,64,4,0.802715,60,61
2,256,800,8,2,2,9.875425,60,63
2,256,800,8,2,4,5.171544,60,62
2,256,800,8,2,8,2.653584,60,61
2,256,800,8,2,16,1.424137,60,61
2,256,800,8,2,32,0.948387,60,61
2,256,800,8,2,64,0.696622,60,60
2,256,800,8,4,2,5.255133,60,62
2,256,800,8,4,4,2.747771,60,61
2,256,800,8,4,8,1.461771,60,61
2,256,800,8,4,16,0.978215,60,61
2,256,800,8,4,32,0.725085,60,61
2,256,800,8,8,2,2.823873,60,61
2,256,800,8,8,4,1.513098,60,61
2,256,800,8,8,8,0.996596,60,61
2,256,800,8,8,16,0.749447,60,60
2,256,800,8,16,2,1.575506,60,61
2,256,800,8,16,4,1.030413,60,61
2,256,800,8,16,8,0.775041,60,60
2,256,800,8,32,2,1.091437,60,60
2,256,800,8,32,4,0.815198,60,60
2,256,800,8,64,2,0.857398,60,61
2,256,800,16,2,2,5.181356,60,62
2,256,800,16,2,4,2.753385,60,61
2,256,800,16,2,8,1.463222,60,61
2,256,800,16,2,16,0.997821,60,60
2,256,800,16,2,32,0.740829,60,60
2,256,800,16,4,2,2.897888,60,61
2,256,800,16,4,4,1.539103,60,61
2,256,800,16,4,8,1.020108,60,61
2,256,800,16,4,16,0.761583,60,61
2,256,800,16,8,2,1.604909,60,61
2,256,800,16,8,4,1.055857,60,61
2,256,800,16,8,8,0.78105,60,60
2,256,800,16,16,2,1.095248,60,60
2,256,800,16,16,4,0.806158,60,61
2,256,800,16,32,2,0.865224,60,61
2,256,800,32,2,2,2.887853,60,61
2,256,800,32,2,4,1.562538,60,61
2,256,800,32,2,8,1.040929,60,61
2,256,800,32,2,16,0.789203,60,61
2,256,800,32,4,2,1.659232,60,61
2,256,800,32,4,4,1.094519,60,61
2,256,800,32,4,8,0.814637,60,60
2,256,800,32,8,2,1.13342,60,61
2,256,800,32,8,4,0.837741,60,61
2,256,800,32,16,2,0.876333,60,61
2,256,800,64,2,2,1.678855,60,61
2,256,800,64,2,4,1.120607,60,61
2,256,800,64,2,8,0.832622,60,60
2,256,800,64,4,2,1.177317,60,61
2,256,800,64,4,4,0.868456,60,60
2,256,800,64,8,2,0.903038,60,61
2,512,800,2,2,2,36.488629,60,70
2,512,800,2,2,4,19.142309,60,66
2,512,800,2,2,8,9.692648,60,63
2,512,800,2,2,16,5.0675,60,62
2,512,800,2,2,32,2.566037,60,61
2,512,800,2,2,64,1.313549,60,61
2,512,800,2,4,2,19.253691,60,65
2,512,800,2,4,4,9.888953,60,63
2,512,800,2,4,8,5.031659,60,62
2,512,800,2,4,16,2.619186,60,61
2,512,800,2,4,32,1.359195,60,61
2,512,800,2,4,64,0.860231,60,61
2,512,800,2,8,2,9.922146,60,63
2,512,800,2,8,4,5.12723,60,62
2,512,800,2,8,8,2.633539,60,61
2,512,800,2,8,16,1.3995,60,61
2,512,800,2,8,32,0.896957,60,61
2,512,800,2,8,64,0.653131,60,60
2,512,800,2,16,2,5.167756,60,62
2,512,800,2,16,4,2.710998,60,61
2,512,800,2,16,8,1.429338,60,61
2,512,800,2,16,16,0.93149,60,61
2,512,800,2,16,32,0.667465,60,60
2,512,800,2,32,2,2.79232,60,61
2,512,800,2,32,4,1.498764,60,61
2,512,800,2,32,8,0.982116,60,61
2,512,800,2,32,16,0.701521,60,60
2,512,800,2,64,2,1.584715,60,61
2,512,800,2,64,4,1.02968,60,61
2,512,800,2,64,8,0.743921,60,61
2,512,800,4,2,2,18.873131,60,65
2,512,800,4,2,4,9.922932,60,63
2,512,800,4,2,8,5.039305,60,62
2,512,800,4,2,16,2.646209,60,61
2,512,800,4,2,32,1.369935,60,61
2,512,800,4,2,64,0.894079,60,61
2,512,800,4,4,2,10.049505,60,63
2,512,800,4,4,4,5.168512,60,62
2,512,800,4,4,8,2.653621,60,61
2,512,800,4,4,16,1.42262,60,61
2,512,800,4,4,32,0.927812,60,61
2,512,800,4,4,64,0.661705,60,61
2,512,800,4,8,2,5.208102,60,62
2,512,800,4,8,4,2.72507,60,61
2,512,800,4,8,8,1.443679,60,61
2,512,800,4,8,16,0.958011,60,61
2,512,800,4,8,32,0.699261,60,60
2,512,800,4,16,2,2.77046,60,61
2,512,800,4,16,4,1.492885,60,61
2,512,800,4,16,8,0.98158,60,61
2,512,800,4,16,16,0.726929,60,61
2,512,800,4,32,2,1.58706,60,61
2,512,800,4,32,4,1.034606,60,60
2,512,800,4,32,8,0.768755,60,61
2,512,800,4,64,2,1.088828,60,61
2,512,800,4,64,4,0.802621,60,61
2,512,800,8,2,2,9.875296,60,63
2,512,800,8,2,4,5.17146,60,62
2,512,800,8,2,8,2.653611,60,61
2,512,800,8,2,16,1.423868,60,61
2,512,800,8,2,32,0.948255,60,61
2,512,800,8,2,64,0.696745,60,61
2,512,800,8,4,2,5.255836,60,62
2,512,800,8,4,4,2.747919,60,61
2,512,800,8,4,8,1.462071,60,61
2,512,800,8,4,16,0.979172,60,61
2,512,800,8,4,32,0.725411,60,60
2,512,800,8,8,2,2.823412,60,61
2,512,800,8,8,4,1.513227,60,61
2,512,800,8,8,8,0.998914,60,61
2,512,800,8,8,16,0.749456,60,61
2,512,800,8,16,2,1.575443,60,61
2,512,800,8,16,4,1.030584,60,61
2,512,800,8,16,8,0.775463,60,61
2,512,800,8,32,2,1.091786,60,61
2,512,800,8,32,4,0.815097,60,61
2,512,800,8,64,2,0.85753,60,61
2,512,800,16,2,2,5.180048,60,62
2,512,800,16,2,4,2.753739,60,61
2,512,800,16,2,8,1.463279,60,61
2,512,800,16,2,16,0.997698,60,61
2,512,800,16,2,32,0.740454,60,60
2,512,800,16,4,2,2.898104,60,61
2,512,800,16,4,4,1.538968,60,61
2,512,800,16,4,8,1.020153,60,61
2,512,800,16,4,16,0.761491,60,61
2,512,800,16,8,2,1.607654,60,61
2,512,800,16,8,4,1.055685,60,61
2,512,800,16,8,8,0.784097,60,60
2,512,800,16,16,2,1.095256,60,61
2,512,800,16,16,4,0.8063,60,60
2,512,800,16,32,2,0.867406,60,60
2,512,800,32,2,2,2.888714,60,61
2,512,800,32,2,4,1.563061,60,61
2,512,800,32,2,8,1.04115,60,61
2,512,800,32,2,16,0.789022,60,60
2,512,800,32,4,2,1.659246,60,60
2,512,800,32,4,4,1.094359,60,60
2,512,800,32,4,8,0.814605,60,60
2,512,800,32,8,2,1.133307,60,60
2,512,800,32,8,4,0.837779,60,60
2,512,800,32,16,2,0.876343,60,60
2,512,800,64,2,2,1.679119,60,61
2,512,800,64,2,4,1.123964,60,60
2,512,800,64,2,8,0.832723,60,60
2,512,800,64,4,2,1.177518,60,60
2,512,800,64,4,4,0.87016,60,60
2,512,800,64,8,2,0.903035,60,61
2,1024,800,2,2,2,36.487574,60,69
2,1024,800,2,2,4,19.142886,60,66
2,1024,800,2,2,8,9.691681,60,63
2,1024,800,2,2,16,5.067452,60,62
2,1024,800,2,2,32,2.566376,60,61
2,1024,800,2,2,64,1.31347,60,61
2,1024,800,2,4,2,19.257743,60,65
2,1024,800,2,4,4,9.890029,60,63
2,1024,800,2,4,8,5.031339,60,62
2,1024,800,2,4,16,2.618624,60,61
2,1024,800,2,4,32,1.35938,60,61
2,1024,800,2,4,64,0.860266,60,61
2,1024,800,2,8,2,9.922542,60,63
2,1024,800,2,8,4,5.128472,60,62
2,1024,800,2,8,8,2.634022,60,61
2,1024,800,2,8,16,1.399607,60,61
2,1024,800,2,8,32,0.888576,60,61
2,1024,800,2,8,64,0.652632,60,61
2,1024,800,2,16,2,5.167066,60,62
2,1024,800,2,16,4,2.711788,60,61
2,1024,800,2,16,8,1.429705,60,61
2,1024,800,2,16,16,0.931739,60,61
2,1024,800,2,16,32,0.667424,60,61
2,1024,800,2,32,2,2.793188,60,61
2,1024,800,2,32,4,1.498595,60,61
2,1024,800,2,32,8,0.982455,60,61
2,1024,800,2,32,16,0.701429,60,61
2,1024,800,2,64,2,1.584542,60,61
2,1024,800,2,64,4,1.029479,60,61
2,1024,800,2,64,8,0.743661,60,60
2,1024,800,4,2,2,18.872423,60,65
2,1024,800,4,2,4,9.924265,60,63
2,1024,800,4,2,8,5.038719,60,62
2,1024,800,4,2,16,2.646727,60,61
2,1024,800,4,2,32,1.369942,60,61
2,1024,800,4,2,64,0.894201,60,61
2,1024,800,4,4,2,10.050831,60,63
2,1024,800,4,4,4,5.169626,60,62
2,1024,800,4,4,8,2.653907,60,61
2,1024,800,4,4,16,1.414225,60,61
2,1024,800,4,4,32,0.927616,60,61
2,1024,800,4,4,64,0.661705,60,61
2,1024,800,4,8,2,5.208681,60,62
2,1024,800,4,8,4,2.725171,60,61
2,1024,800,4,8,8,1.443624,60,61
2,1024,800,4,8,16,0.958067,60,61
2,1024,800,4,8,32,0.699297,60,60
2,1024,800,4,16,2,2.771025,60,61
2,1024,800,4,16,4,1.492863,60,61
2,1024,800,4,16,8,0.98147,60,61
2,1024,800,4,16,16,0.726877,60,60
2,1024,800,4,32,2,1.580813,60,61
2,1024,800,4,32,4,1.034237,60,61
2,1024,800,4,32,8,0.769083,60,61
2,1024,800,4,64,2,1.089983,60,61
2,1024,800,4,64,4,0.80268,60,61
2,1024,800,8,2,2,9.875865,60,63
2,1024,800,8,2,4,5.171136,60,62
2,1024,800,8,2,8,2.653101,60,61
2,1024,800,8,2,16,1.424351,60,61
2,1024,800,8,2,32,0.947816,60,61
2,1024,800,8,2,64,0.696596,60,61
2,1024,800,8,4,2,5.256036,60,62
2,1024,800,8,4,4,2.748139,60,61
2,1024,800,8,4,8,1.461764,60,61
2,1024,800,8,4,16,0.978292,60,60
2,1024,800,8,4,32,0.725573,60,60
2,1024,800,8,8,2,2.822969,60,61
2,1024,800,8,8,4,1.513209,60,61
2,1024,800,8,8,8,0.996359,60,61
2,1024,800,8,8,16,0.749371,60,61
2,1024,800,8,16,2,1.575459,60,61
2,1024,800,8,16,4,1.030204,60,61
2,1024,800,8,16,8,0.775407,60,61
2,1024,800,8,32,2,1.091901,60,61
2,1024,800,8,32,4,0.815108,60,60
2,1024,800,8,64,2,0.857463,60,61
2,1024,800,16,2,2,5.181372,60,62
2,1024,800,16,2,4,2.754129,60,61
2,1024,800,16,2,8,1.463565,60,61
2,1024,800,16,2,16,0.997654,60,61
2,1024,800,16,2,32,0.740642,60,61
2,1024,800,16,4,2,2.898299,60,61
2,1024,800,16,4,4,1.538765,60,61
2,1024,800,16,4,8,1.020477,60,61
2,1024,800,16,4,16,0.761497,60,61
2,1024,800,16,8,2,1.605392,60,61
2,1024,800,16,8,4,1.055605,60,61
2,1024,800,16,8,8,0.780758,60,61
2,1024,800,16,16,2,1.095196,60,61
2,1024,800,16,16,4,0.805924,60,61
2,1024,800,16,32,2,0.865437,60,61
2,1024,800,32,2,2,2.887985,60,61
2,1024,800,32,2,4,1.563098,60,61
2,1024,800,32,2,8,1.04104,60,61
2,1024,800,32,2,16,0.789059,60,60
2,1024,800,32,4,2,1.659096,60,61
2,1024,800,32,4,4,1.09418,60,61
2,1024,800,32,4,8,0.81471,60,61
2,1024,800,32,8,2,1.134344,60,61
2,1024,800,32,8,4,0.837578,60,61
2,1024,800,32,16,2,0.879495,60,61
2,1024,800,64,2,2,1.679081,60,61
2,1024,800,64,2,4,1.120193,60,61
2,1024,800,64,2,8,0.832596,60,61
2,1024,800,64,4,2,1.177388,60,61
2,1024,800,64,4,4,0.868637,60,60
2,1024,800,64,8,2,0.90296,60,61
4,-1,800,-1,-1,-1,1.501983,60,61
4,128,800,2,2,2,45.197905,61,70
4,128,800,2,2,4,23.438082,60,66
4,128,800,2,2,8,11.795801,60,63
4,128,800,2,2,16,6.05907,60,62
4,128,800,2,2,32,3.118799,60,62
4,128,800,2,2,64,1.648796,60,61
4,128,800,2,4,2,23.62344,60,66
4,128,800,2,4,4,12.587134,60,63
4,128,800,2,4,8,6.453306,60,62
4,128,800,2,4,16,3.397241,60,61
4,128,800,2,4,32,1.797841,60,61
4,128,800,2,4,64,1.202956,60,61
4,128,800,2,8,2,12.246652,60,63
4,128,800,2,8,4,6.477399,60,62
4,128,800,2,8,8,3.376674,60,61
4,128,800,2,8,16,1.821317,60,61
4,128,800,2,8,32,1.247687,60,61
4,128,800,2,8,64,0.990767,60,61
4,128,800,2,16,2,6.370627,60,62
4,128,800,2,16,4,3.369093,60,61
4,128,800,2,16,8,1.837092,60,61
4,128,800,2,16,16,1.288158,60,61
4,128,800,2,16,32,1.038328,60,61
4,128,800,2,32,2,3.454462,60,61
4,128,800,2,32,4,1.864037,60,61
4,128,800,2,32,8,1.378791,60,61
4,128,800,2,32,16,1.119828,60,61
4,128,800,2,64,2,1.968278,60,61
4,128,800,2,64,4,1.49234,60,61
4,128,800,2,64,8,1.205231,60,61
4,128,800,4,2,2,23.311453,60,66
4,128,800,4,2,4,12.173615,60,63
4,128,800,4,2,8,6.0789,60,62
4,128,800,4,2,16,3.147593,60,61
4,128,800,4,2,32,1.669871,60,61
4,128,800,4,2,64,1.153969,60,61
4,128,800,4,4,2,12.287382,60,63
4,128,800,4,4,4,6.517959,60,62
4,128,800,4,4,8,3.364925,60,61
4,128,800,4,4,16,1.789692,60,61
4,128,800,4,4,32,1.192891,60,61
4,128,800,4,4,64,0.876823,60,61
4,128,800,4,8,2,6.319265,60,62
4,128,800,4,8,4,3.392333,60,61
4,128,800,4,8,8,1.822097,60,61
4,128,800,4,8,16,1.209025,60,61
4,128,800,4,8,32,0.903547,60,60
4,128,800,4,16,2,3.372554,60,61
4,128,800,4,16,4,1.829013,60,61
4,128,800,4,16,8,1.230053,60,61
4,128,800,4,16,16,0.945026,60,60
4,128,800,4,32,2,1.91665,60,61
4,128,800,4,32,4,1.356665,60,61
4,128,800,4,32,8,1.037375,60,61
4,128,800,4,64,2,1.441534,60,61
4,128,800,4,64,4,1.193557,60,61
4,128,800,8,2,2,12.067022,60,63
4,128,800,8,2,4,6.302861,60,62
4,128,800,8,2,8,3.175975,60,61
4,128,800,8,2,16,1.680833,60,61
4,128,800,8,2,32,1.229641,60,61
4,128,800,8,2,64,0.929273,60,60
4,128,800,8,4,2,6.348143,60,62
4,128,800,8,4,4,3.430525,60,61
4,128,800,8,4,8,1.798367,60,61
4,128,800,8,4,16,1.272979,60,61
4,128,800,8,4,32,0.89148,60,60
4,128,800,8,8,2,3.355586,60,61
4,128,800,8,8,4,1.843688,60,61
4,128,800,8,8,8,1.330037,60,61
4,128,800,8,8,16,0.901566,60,60
4,128,800,8,16,2,1.887801,60,61
4,128,800,8,16,4,1.378969,60,61
4,128,800,8,16,8,0.933036,60,61
4,128,800,8,32,2,1.460257,60,61
4,128,800,8,32,4,1.108088,60,61
4,128,800,8,64,2,1.208418,60,61
4,128,800,16,2,2,6.290984,60,62
4,128,800,16,2,4,3.348801,60,61
4,128,800,16,2,8,1.735378,60,61
4,128,800,16,2,16,1.270786,60,61
4,128,800,16,2,32,0.987622,60,61
4,128,800,16,4,2,3.385528,60,61
4,128,800,16,4,4,1.865748,60,61
4,128,800,16,4,8,1.354225,60,61
4,128,800,16,4,16,0.999481,60,61
4,128,800,16,8,2,1.89427,60,61
4,128,800,16,8,4,1.395664,60,61
4,128,800,16,8,8,1.087131,60,61
4,128,800,16,16,2,1.45228,60,61
4,128,800,16,16,4,1.177806,60,61
4,128,800,16,32,2,1.223516,60,61
4,128,800,32,2,2,3.491455,60,61
4,128,800,32,2,4,1.896417,60,61
4,128,800,32,2,8,1.33679,60,61
4,128,800,32,2,16,1.064341,60,60
4,128,800,32,4,2,1.956879,60,61
4,128,800,32,4,4,1.433303,60,61
4,128,800,32,4,8,1.152447,60,61
4,128,800,32,8,2,1.475829,60,61
4,128,800,32,8,4,1.211772,60,61
4,128,800,32,16,2,1.243962,60,61
4,128,800,64,2,2,2.118308,60,61
4,128,800,64,2,4,1.489971,60,61
4,128,800,64,2,8,1.157137,60,61
4,128,800,64,4,2,1.531537,60,61
4,128,800,64,4,4,1.245241,60,61
4,128,800,64,8,2,1.267143,60,61
4,256,800,2,2,2,45.207392,60,70
4,256,800,2,2,4,23.434616,60,66
4,256,800,2,2,8,11.793703,60,63
4,256,800,2,2,16,6.058468,60,62
4,256,800,2,2,32,3.118732,60,61
4,256,800,2,2,64,1.648872,60,61
4,256,800,2,4,2,23.621489,60,65
4,256,800,2,4,4,12.586866,60,63
4,256,800,2,4,8,6.452955,60,62
4,256,800,2,4,16,3.396935,61,61
4,256,800,2,4,32,1.797474,60,61
4,256,800,2,4,64,1.203178,60,61
4,256,800,2,8,2,12.246955,60,63
4,256,800,2,8,4,6.478352,60,62
4,256,800,2,8,8,3.377182,60,61
4,256,800,2,8,16,1.821201,60,61
4,256,800,2,8,32,1.247766,60,61
4,256,800,2,8,64,0.990915,60,61
4,256,800,2,16,2,6.371041,60,62
4,256,800,2,16,4,3.368474,60,61
4,256,800,2,16,8,1.835842,60,61
4,256,800,2,16,16,1.288852,60,61
4,256,800,2,16,32,1.0383,60,60
4,256,800,2,32,2,3.454189,60,61
4,256,800,2,32,4,1.863891,60,61
4,256,800,2,32,8,1.379038,60,61
4,256,800,2,32,16,1.119915,60,61
4,256,800,2,64,2,1.968316,60,61
4,256,800,2,64,4,1.492447,60,61
4,256,800,2,64,8,1.205814,60,61
4,256,800,4,2,2,23.308947,60,65
4,256,800,4,2,4,12.173097,60,63
4,256,800,4,2,8,6.078432,60,62
4,256,800,4,2,16,3.147571,60,61
4,256,800,4,2,32,1.669672,60,61
4,256,800,4,2,64,1.153833,60,61
4,256,800,4,4,2,12.287452,60,63
4,256,800,4,4,4,6.51817,60,62
4,256,800,4,4,8,3.364499,60,61
4,256,800,4,4,16,1.789474,60,61
4,256,800,4,4,32,1.192342,60,61
4,256,800,4,4,64,0.876881,60,61
4,256,800,4,8,2,6.31996,60,62
4,256,800,4,8,4,3.391703,60,61
4,256,800,4,8,8,1.822228,60,61
4,256,800,4,8,16,1.204981,60,61
4,256,800,4,8,32,0.903512,60,61
4,256,800,4,16,2,3.372524,60,61
4,256,800,4,16,4,1.829125,60,61
4,256,800,4,16,8,1.230374,60,61
4,256,800,4,16,16,0.944831,60,61
4,256,800,4,32,2,1.917047,60,61
4,256,800,4,32,4,1.35617,60,61
4,256,800,4,32,8,1.036944,60,61
4,256,800,4,64,2,1.441121,60,61
4,256,800,4,64,4,1.197669,60,61
4,256,800,8,2,2,12.067405,60,63
4,256,800,8,2,4,6.301988,60,62
4,256,800,8,2,8,3.176337,60,61
4,256,800,8,2,16,1.680753,60,61
4,256,800,8,2,32,1.229478,60,61
4,256,800,8,2,64,0.929212,60,61
4,256,800,8,4,2,6.348731,60,62
4,256,800,8,4,4,3.430437,60,61
4,256,800,8,4,8,1.79834,60,61
4,256,800,8,4,16,1.273096,60,61
4,256,800,8,4,32,0.891292,60,60
4,256,800,8,8,2,3.354983,60,61
4,256,800,8,8,4,1.844261,60,61
4,256,800,8,8,8,1.326113,60,61
4,256,800,8,8,16,0.901766,60,61
4,256,800,8,16,2,1.887465,60,61
4,256,800,8,16,4,1.379114,60,61
4,256,800,8,16,8,0.933485,60,61
4,256,800,8,32,2,1.460351,60,61
4,256,800,8,32,4,1.107332,60,61
4,256,800,8,64,2,1.208389,60,61
4,256,800,16,2,2,6.290887,60,62
4,256,800,16,2,4,3.348225,60,61
4,256,800,16,2,8,1.735158,60,61
4,256,800,16,2,16,1.268281,60,61
4,256,800,16,2,32,0.987515,60,61
4,256,800,16,4,2,3.38577,60,61
4,256,800,16,4,4,1.866305,60,61
4,256,800,16,4,8,1.35371,60,61
4,256,800,16,4,16,0.999393,60,61
4,256,800,16,8,2,1.893381,60,61
4,256,800,16,8,4,1.395854,60,61
4,256,800,16,8,8,1.081619,60,60
4,256,800,16,16,2,1.452421,60,61
4,256,800,16,16,4,1.178319,60,61
4,256,800,16,32,2,1.223946,60,61
4,256,800,32,2,2,3.492177,60,61
4,256,800,32,2,4,1.896295,60,61
4,256,800,32,2,8,1.336439,60,61
4,256,800,32,2,16,1.064038,60,61
4,256,800,32,4,2,1.957389,60,61
4,256,800,32,4,4,1.433373,60,61
4,256,800,32,4,8,1.152813,60,61
4,256,800,32,8,2,1.475327,60,61
4,256,800,32,8,4,1.211566,60,61
4,256,800,32,16,2,1.244258,60,61
4,256,800,64,2,2,2.113901,60,61
4,256,800,64,2,4,1.489937,60,61
4,256,800,64,2,8,1.157122,60,61
4,256,800,64,4,2,1.531085,60,61
4,256,800,64,4,4,1.245418,60,61
4,256,800,64,8,2,1.266965,60,61
4,512,800,2,2,2,45.208762,60,70
4,512,800,2,2,4,23.434503,60,66
4,512,800,2,2,8,11.793662,60,63
4,512,800,2,2,16,6.059177,60,62
4,512,800,2,2,32,3.118654,60,61
4,512,800,2,2,64,1.649104,60,61
4,512,800,2,4,2,23.623929,60,65
4,512,800,2,4,4,12.586707,60,63
