so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
4,1024,800,2,16,32,0.147964,35,35
4,128,800,2,32,2,0.38599,35,35
4,256,800,2,32,4,0.211838,35,35
4,512,800,2,32,8,0.153293,35,35
4,1024,800,2,32,16,0.151605,35,35
4,256,800,2,64,2,0.361098,35,35
4,512,800,2,64,4,0.209517,35,35
4,1024,800,2,64,8,0.160791,35,35
4,16,800,4,2,2,0.368811,35,35
4,32,800,4,2,4,0.205521,35,35
4,64,800,4,2,8,0.147933,35,35
4,128,800,4,2,16,0.136493,35,35
4,256,800,4,2,32,0.131639,35,35
4,512,800,4,2,64,0.131604,35,35
4,32,800,4,4,2,0.356142,35,35
4,64,800,4,4,4,0.180805,35,35
4,128,800,4,4,8,0.146207,35,35
4,256,800,4,4,16,0.135132,35,35
4,512,800,4,4,32,0.13165,35,35
4,1024,800,4,4,64,0.133195,35,35
4,64,800,4,8,2,0.305157,35,35
4,128,800,4,8,4,0.203204,35,35
4,256,800,4,8,8,0.143048,35,35
4,512,800,4,8,16,0.135177,35,35
4,1024,800,4,8,32,0.13347,35,35
4,128,800,4,16,2,0.359081,35,35
4,256,800,4,16,4,0.197461,35,35
4,512,800,4,16,8,0.142095,35,35
4,1024,800,4,16,16,0.14,35,35
4,256,800,4,32,2,0.338504,35,35
4,512,800,4,32,4,0.189912,35,35
4,1024,800,4,32,8,0.148245,35,35
4,512,800,4,64,2,0.311118,35,35
4,1024,800,4,64,4,0.186858,35,35
4,32,800,8,2,2,0.535232,35,35
4,64,800,8,2,4,0.247686,36,36
4,128,800,8,2,8,0.151259,36,36
4,256,800,8,2,16,0.131453,36,35
4,512,800,8,2,32,0.127647,36,36
4,1024,800,8,2,64,0.13142,36,35
4,64,800,8,4,2,0.318387,35,36
4,128,800,8,4,4,0.203604,36,36
4,256,800,8,4,8,0.140333,36,35
4,512,800,8,4,16,0.130787,35,35
4,1024,800,8,4,32,0.131017,35,35
4,128,800,8,8,2,0.34021,35,35
4,256,800,8,8,4,0.192187,35,35
4,512,800,8,8,8,0.138563,36,35
4,1024,800,8,8,16,0.137162,35,35
4,256,800,8,16,2,0.341814,36,36
4,512,800,8,16,4,0.183935,36,36
4,1024,800,8,16,8,0.144399,36,36
4,512,800,8,32,2,0.308291,36,36
4,1024,800,8,32,4,0.180041,36,36
4,1024,800,8,64,2,0.301409,36,36
4,64,800,16,2,2,0.601628,36,36
4,128,800,16,2,4,0.33039,36,36
4,256,800,16,2,8,0.165035,36,36
4,512,800,16,2,16,0.127795,36,36
4,1024,800,16,2,32,0.126593,36,36
4,128,800,16,4,2,0.395057,36,36
4,256,800,16,4,4,0.210968,36,36
4,512,800,16,4,8,0.136533,36,36
4,1024,800,16,4,16,0.132495,36,36
4,256,800,16,8,2,0.333994,36,36
4,512,800,16,8,4,0.18436,36,36
4,1024,800,16,8,8,0.141699,36,36
4,512,800,16,16,2,0.312052,36,36
4,1024,800,16,16,4,0.178976,36,36
4,1024,800,16,32,2,0.298753,36,36
4,128,800,32,2,2,0.724924,36,36
4,256,800,32,2,4,0.368936,36,36
4,512,800,32,2,8,0.177094,36,36
4,1024,800,32,2,16,0.130714,36,36
4,256,800,32,4,2,0.439357,36,36
4,512,800,32,4,4,0.224555,37,37
4,1024,800,32,4,8,0.142453,37,36
4,512,800,32,8,2,0.32644,37,37
4,1024,800,32,8,4,0.183258,37,37
4,1024,800,32,16,2,0.309017,37,36
4,256,800,64,2,2,0.779969,36,35
4,512,800,64,2,4,0.389464,35,36
4,1024,800,64,2,8,0.18452,36,36
4,512,800,64,4,2,0.462992,36,36
4,1024,800,64,4,4,0.244044,36,36
4,1024,800,64,8,2,0.344527,36,36
8,8,800,2,2,2,0.765341,36,37
8,16,800,2,2,4,0.416931,37,37
8,32,800,2,2,8,0.260912,37,37
8,64,800,2,2,16,0.209084,37,37
8,128,800,2,2,32,0.196396,37,37
8,256,800,2,2,64,0.195328,37,37
8,16,800,2,4,2,0.687025,37,37
8,32,800,2,4,4,0.36302,37,37
8,64,800,2,4,8,0.215883,37,37
8,128,800,2,4,16,0.198359,37,37
8,256,800,2,4,32,0.19565,37,37
8,512,800,2,4,64,0.195477,37,37
8,32,800,2,8,2,0.662876,37,37
8,64,800,2,8,4,0.346745,37,37
8,128,800,2,8,8,0.218135,37,37
8,256,800,2,8,16,0.197455,37,37
8,512,800,2,8,32,0.196341,37,37
8,1024,800,2,8,64,0.206832,37,37
8,64,800,2,16,2,0.661623,37,37
8,128,800,2,16,4,0.350705,37,37
8,256,800,2,16,8,0.2148,37,37
8,512,800,2,16,16,0.197886,37,37
8,1024,800,2,16,32,0.2094,37,37
8,128,800,2,32,2,0.664369,37,37
8,256,800,2,32,4,0.349921,38,38
8,512,800,2,32,8,0.215507,38,37
8,1024,800,2,32,16,0.216387,37,37
8,256,800,2,64,2,0.659694,37,38
8,512,800,2,64,4,0.350206,38,38
8,1024,800,2,64,8,0.233506,38,37
8,16,800,4,2,2,0.687971,38,38
8,32,800,4,2,4,0.363527,38,38
8,64,800,4,2,8,0.201184,38,38
8,128,800,4,2,16,0.178832,38,38
8,256,800,4,2,32,0.169868,38,38
8,512,800,4,2,64,0.175448,38,38
8,32,800,4,4,2,0.684809,38,38
8,64,800,4,4,4,0.339966,38,38
8,128,800,4,4,8,0.201612,38,38
8,256,800,4,4,16,0.172199,38,38
8,512,800,4,4,32,0.161614,38,38
8,1024,800,4,4,64,0.174629,38,38
8,64,800,4,8,2,0.65968,38,38
8,128,800,4,8,4,0.343065,38,38
8,256,800,4,8,8,0.210251,38,38
8,512,800,4,8,16,0.181733,38,38
8,1024,800,4,8,32,0.178162,38,38
8,128,800,4,16,2,0.663158,38,38
8,256,800,4,16,4,0.339082,38,38
8,512,800,4,16,8,0.210889,38,38
8,1024,800,4,16,16,0.18035,38,38
8,256,800,4,32,2,0.66195,38,38
8,512,800,4,32,4,0.339818,38,38
8,1024,800,4,32,8,0.216146,38,38
8,512,800,4,64,2,0.665446,38,38
8,1024,800,4,64,4,0.343914,38,38
8,32,800,8,2,2,0.723259,38,38
8,64,800,8,2,4,0.342219,38,38
8,128,800,8,2,8,0.2007,38,38
8,256,800,8,2,16,0.161901,38,38
8,512,800,8,2,32,0.166949,38,38
8,1024,800,8,2,64,0.162893,38,38
8,64,800,8,4,2,0.666409,38,38
8,128,800,8,4,4,0.339622,38,38
8,256,800,8,4,8,0.202006,38,38
