so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
2,256,800,2,16,32,0.149924,36,36
2,256,800,2,32,2,0.37247,36,36
2,256,800,2,32,4,0.250361,36,36
2,256,800,2,32,8,0.20785,36,36
2,256,800,2,32,16,0.213418,36,35
2,256,800,2,64,2,1.016675,35,35
2,256,800,2,64,4,0.61224,35,35
2,256,800,2,64,8,0.398118,35,35
2,256,800,4,2,2,1.891787,35,35
2,256,800,4,2,4,0.967093,35,35
2,256,800,4,2,8,0.518801,35,35
2,256,800,4,2,16,0.290363,35,35
2,256,800,4,2,32,0.189041,35,35
2,256,800,4,2,64,0.155675,35,35
2,256,800,4,4,2,0.964034,35,35
2,256,800,4,4,4,0.518459,35,35
2,256,800,4,4,8,0.292618,35,34
2,256,800,4,4,16,0.20434,34,34
2,256,800,4,4,32,0.155627,34,34
2,256,800,4,4,64,0.141173,34,34
2,256,800,4,8,2,0.522739,34,34
2,256,800,4,8,4,0.302486,34,34
2,256,800,4,8,8,0.203104,34,34
2,256,800,4,8,16,0.183328,33,33
2,256,800,4,8,32,0.144588,33,33
2,256,800,4,16,2,0.357688,33,33
2,256,800,4,16,4,0.238121,33,33
2,256,800,4,16,8,0.204235,33,33
2,256,800,4,16,16,0.193664,33,33
2,256,800,4,32,2,0.862436,33,33
2,256,800,4,32,4,0.579305,33,32
2,256,800,4,32,8,0.365992,32,32
2,256,800,4,64,2,1.366077,32,32
2,256,800,4,64,4,0.710048,32,32
2,256,800,8,2,2,0.961369,32,32
2,256,800,8,2,4,0.521413,32,32
2,256,800,8,2,8,0.295097,32,32
2,256,800,8,2,16,0.213948,32,32
2,256,800,8,2,32,0.159847,32,31
2,256,800,8,2,64,0.146201,31,31
2,256,800,8,4,2,0.522323,31,31
2,256,800,8,4,4,0.302066,31,31
2,256,800,8,4,8,0.203854,31,31
2,256,800,8,4,16,0.187441,31,31
2,256,800,8,4,32,0.144396,31,31
2,256,800,8,8,2,0.35534,31,31
2,256,800,8,8,4,0.237117,31,31
2,256,800,8,8,8,0.204978,31,31
2,256,800,8,8,16,0.195152,31,31
2,256,800,8,16,2,0.832833,31,30
2,256,800,8,16,4,0.566624,30,30
2,256,800,8,16,8,0.352869,30,30
2,256,800,8,32,2,1.335247,30,30
2,256,800,8,32,4,0.68356,30,30
2,256,800,8,64,2,1.338637,30,31
2,256,800,16,2,2,0.547018,31,31
2,256,800,16,2,4,0.325322,31,31
2,256,800,16,2,8,0.212974,31,31
2,256,800,16,2,16,0.196903,31,31
2,256,800,16,2,32,0.149902,31,31
2,256,800,16,4,2,0.396992,31,31
2,256,800,16,4,4,0.246329,31,31
2,256,800,16,4,8,0.218824,31,31
2,256,800,16,4,16,0.201499,31,31
2,256,800,16,8,2,0.818829,31,32
2,256,800,16,8,4,0.55687,32,32
2,256,800,16,8,8,0.345385,32,32
2,256,800,16,16,2,1.315596,32,32
2,256,800,16,16,4,0.676109,32,32
2,256,800,16,32,2,1.324999,32,32
2,256,800,32,2,2,0.662839,32,32
2,256,800,32,2,4,0.327019,32,32
2,256,800,32,2,8,0.256898,32,32
2,256,800,32,2,16,0.215236,32,32
2,256,800,32,4,2,0.931575,32,32
2,256,800,32,4,4,0.611017,32,32
2,256,800,32,4,8,0.348062,32,32
2,256,800,32,8,2,1.331113,32,32
2,256,800,32,8,4,0.688846,32,32
2,256,800,32,16,2,1.34124,32,32
2,256,800,64,2,2,1.118622,32,32
2,256,800,64,2,4,0.690302,32,32
2,256,800,64,2,8,0.357031,32,32
2,256,800,64,4,2,1.369537,32,32
2,256,800,64,4,4,0.713393,32,32
2,256,800,64,8,2,1.365854,32,32
2,512,800,2,2,2,7.820464,32,32
2,512,800,2,2,4,4.030632,32,32
2,512,800,2,2,8,2.032711,32,32
2,512,800,2,2,16,1.052453,32,32
2,512,800,2,2,32,0.550747,32,32
2,512,800,2,2,64,0.313302,32,31
2,512,800,2,4,2,4.017131,31,31
2,512,800,2,4,4,2.03978,31,31
2,512,800,2,4,8,1.053433,31,31
2,512,800,2,4,16,0.550526,31,31
2,512,800,2,4,32,0.315487,31,31
2,512,800,2,4,64,0.198635,31,31
2,512,800,2,8,2,2.027757,31,31
2,512,800,2,8,4,1.05523,31,30
2,512,800,2,8,8,0.55259,30,30
2,512,800,2,8,16,0.319264,30,30
2,512,800,2,8,32,0.199586,30,30
2,512,800,2,8,64,0.162124,30,30
2,512,800,2,16,2,1.047228,30,31
2,512,800,2,16,4,0.555299,31,31
2,512,800,2,16,8,0.322637,31,31
2,512,800,2,16,16,0.211438,31,31
2,512,800,2,16,32,0.165387,31,31
2,512,800,2,32,2,0.568691,31,31
2,512,800,2,32,4,0.33368,31,31
2,512,800,2,32,8,0.218089,31,31
2,512,800,2,32,16,0.188272,31,31
2,512,800,2,64,2,0.381172,31,31
2,512,800,2,64,4,0.245668,31,32
2,512,800,2,64,8,0.212501,32,32
2,512,800,4,2,2,4.010813,32,32
2,512,800,4,2,4,2.038884,32,32
2,512,800,4,2,8,1.054408,32,32
2,512,800,4,2,16,0.551302,32,32
2,512,800,4,2,32,0.315695,32,32
2,512,800,4,2,64,0.199289,32,32
2,512,800,4,4,2,2.02994,32,32
2,512,800,4,4,4,1.054348,32,33
2,512,800,4,4,8,0.553096,33,33
2,512,800,4,4,16,0.319723,33,33
2,512,800,4,4,32,0.199567,33,33
2,512,800,4,4,64,0.160821,33,33
2,512,800,4,8,2,1.050426,33,33
2,512,800,4,8,4,0.555278,33,33
2,512,800,4,8,8,0.322761,33,33
2,512,800,4,8,16,0.209804,33,33
2,512,800,4,8,32,0.162563,33,33
2,512,800,4,16,2,0.560827,33,33
2,512,800,4,16,4,0.327619,33,33
2,512,800,4,16,8,0.216385,33,33
2,512,800,4,16,16,0.181429,33,33
2,512,800,4,32,2,0.37535,33,33
2,512,800,4,32,4,0.239693,34,34
2,512,800,4,32,8,0.201904,34,34
2,512,800,4,64,2,0.839481,34,34
2,512,800,4,64,4,0.555685,34,34
2,512,800,8,2,2,2.024684,34,34
2,512,800,8,2,4,1.056694,34,34
2,512,800,8,2,8,0.553729,34,34
2,512,800,8,2,16,0.319749,34,34
2,512,800,8,2,32,0.201084,34,34
2,512,800,8,2,64,0.160833,34,34
2,512,800,8,4,2,1.049623,34,34
2,512,800,8,4,4,0.555185,34,34
2,512,800,8,4,8,0.322278,34,34
2,512,800,8,4,16,0.208234,34,34
2,512,800,8,4,32,0.161397,34,34
2,512,800,8,8,2,0.560429,34,34
2,512,800,8,8,4,0.327465,34,34
2,512,800,8,8,8,0.214613,34,34
2,512,800,8,8,16,0.178626,34,34
2,512,800,8,16,2,0.368269,34,34
2,512,800,8,16,4,0.233742,34,34
2,512,800,8,16,8,0.19515,34,34
2,512,800,8,32,2,0.744649,34,34
2,512,800,8,32,4,0.508779,34,34
2,512,800,8,64,2,1.065656,34,34
2,512,800,16,2,2,1.046928,34,35
2,512,800,16,2,4,0.559929,35,35
2,512,800,16,2,8,0.324062,35,35
2,512,800,16,2,16,0.210044,35,35
2,512,800,16,2,32,0.163256,35,35
2,512,800,16,4,2,0.561275,35,35
2,512,800,16,4,4,0.327794,35,35
2,512,800,16,4,8,0.21557,35,35
2,512,800,16,4,16,0.18024,35,35
2,512,800,16,8,2,0.370106,35,35
2,512,800,16,8,4,0.235187,35,35
2,512,800,16,8,8,0.197225,35,35
2,512,800,16,16,2,0.774475,35,35
2,512,800,16,16,4,0.518856,35,35
2,512,800,16,32,2,1.061234,35,35
2,512,800,32,2,2,0.578082,35,35
2,512,800,32,2,4,0.347321,35,35
2,512,800,32,2,8,0.223896,35,35
2,512,800,32,2,16,0.186515,35,35
2,512,800,32,4,2,0.403254,35,35
2,512,800,32,4,4,0.24795,35,35
2,512,800,32,4,8,0.202138,35,35
2,512,800,32,8,2,0.790425,35,35
2,512,800,32,8,4,0.526628,35,35
2,512,800,32,16,2,1.090547,35,35
2,512,800,64,2,2,0.627092,35,35
2,512,800,64,2,4,0.327954,35,35
2,512,800,64,2,8,0.209017,35,35
2,512,800,64,4,2,0.829992,35,35
2,512,800,64,4,4,0.550052,35,35
2,512,800,64,8,2,1.120629,35,35
2,1024,800,2,2,2,17.365762,35,35
2,1024,800,2,2,4,9.048104,35,35
2,1024,800,2,2,8,4.591175,35,35
2,1024,800,2,2,16,2.358368,35,35
2,1024,800,2,2,32,1.223775,35,35
2,1024,800,2,2,64,0.652559,35,35
2,1024,800,2,4,2,9.037609,35,35
2,1024,800,2,4,4,4.6159,35,35
2,1024,800,2,4,8,2.365669,35,35
2,1024,800,2,4,16,1.22418,35,35
2,1024,800,2,4,32,0.65547,35,35
2,1024,800,2,4,64,0.368468,35,35
2,1024,800,2,8,2,4.594116,35,35
2,1024,800,2,8,4,2.371093,35,35
2,1024,800,2,8,8,1.23138,35,35
2,1024,800,2,8,16,0.659745,35,35
2,1024,800,2,8,32,0.369781,35,35
2,1024,800,2,8,64,0.230856,35,35
2,1024,800,2,16,2,2.361003,35,35
2,1024,800,2,16,4,1.235919,35,35
2,1024,800,2,16,8,0.664996,35,35
2,1024,800,2,16,16,0.377392,35,35
2,1024,800,2,16,32,0.232839,35,35
2,1024,800,2,32,2,1.257874,35,35
2,1024,800,2,32,4,0.681213,35,35
2,1024,800,2,32,8,0.386719,35,35
2,1024,800,2,32,16,0.243252,35,35
2,1024,800,2,64,2,0.69371,35,35
2,1024,800,2,64,4,0.394875,35,35
2,1024,800,2,64,8,0.250957,35,35
2,1024,800,4,2,2,9.001245,35,35
2,1024,800,4,2,4,4.613697,35,35
2,1024,800,4,2,8,2.363632,35,35
2,1024,800,4,2,16,1.224821,35,36
2,1024,800,4,2,32,0.655603,35,35
2,1024,800,4,2,64,0.367997,35,36
2,1024,800,4,4,2,4.580107,36,36
2,1024,800,4,4,4,2.370098,36,36
2,1024,800,4,4,8,1.229118,36,36
2,1024,800,4,4,16,0.65842,36,36
2,1024,800,4,4,32,0.368621,36,36
2,1024,800,4,4,64,0.229484,36,36
2,1024,800,4,8,2,2.358421,36,36
2,1024,800,4,8,4,1.233689,36,36
2,1024,800,4,8,8,0.664909,36,36
2,1024,800,4,8,16,0.375929,36,36
2,1024,800,4,8,32,0.230781,36,36
2,1024,800,4,16,2,1.236276,36,36
2,1024,800,4,16,4,0.668729,36,35
2,1024,800,4,16,8,0.379242,35,35
2,1024,800,4,16,16,0.238471,35,35
2,1024,800,4,32,2,0.689543,35,35
2,1024,800,4,32,4,0.392239,35,35
2,1024,800,4,32,8,0.246327,35,35
2,1024,800,4,64,2,0.41854,35,35
2,1024,800,4,64,4,0.265,35,35
2,1024,800,8,2,2,4.575705,35,35
2,1024,800,8,2,4,2.369392,35,35
2,1024,800,8,2,8,1.228991,35,35
2,1024,800,8,2,16,0.659072,35,35
2,1024,800,8,2,32,0.369597,34,34
2,1024,800,8,2,64,0.230044,34,34
2,1024,800,8,4,2,2.354063,34,34
2,1024,800,8,4,4,1.232619,34,34
2,1024,800,8,4,8,0.664406,34,34
2,1024,800,8,4,16,0.374804,34,34
2,1024,800,8,4,32,0.231,34,33
2,1024,800,8,8,2,1.233593,33,33
2,1024,800,8,8,4,0.667788,33,33
2,1024,800,8,8,8,0.379414,33,33
2,1024,800,8,8,16,0.238661,33,33
2,1024,800,8,16,2,0.676122,33,33
2,1024,800,8,16,4,0.385857,33,33
2,1024,800,8,16,8,0.242058,33,32
2,1024,800,8,32,2,0.415589,32,32
2,1024,800,8,32,4,0.262315,32,32
2,1024,800,8,64,2,0.344558,32,32
2,1024,800,16,2,2,2.350478,32,32
2,1024,800,16,2,4,1.239245,32,32
2,1024,800,16,2,8,0.665766,32,32
2,1024,800,16,2,16,0.375491,32,32
2,1024,800,16,2,32,0.232138,32,32
2,1024,800,16,4,2,1.230363,31,31
2,1024,800,16,4,4,0.66719,31,31
2,1024,800,16,4,8,0.379491,31,31
2,1024,800,16,4,16,0.239186,31,31
2,1024,800,16,8,2,0.676293,31,31
2,1024,800,16,8,4,0.386265,31,31
2,1024,800,16,8,8,0.243193,31,31
2,1024,800,16,16,2,0.4108,31,31
2,1024,800,16,16,4,0.265665,31,31
2,1024,800,16,32,2,0.357193,31,31
2,1024,800,32,2,2,1.252298,31,31
2,1024,800,32,2,4,0.685416,31,31
2,1024,800,32,2,8,0.388609,30,30
2,1024,800,32,2,16,0.2435,30,30
2,1024,800,32,4,2,0.685638,31,31
2,1024,800,32,4,4,0.393277,31,31
2,1024,800,32,4,8,0.247401,31,31
2,1024,800,32,8,2,0.418692,31,31
2,1024,800,32,8,4,0.268729,31,31
2,1024,800,32,16,2,0.367038,31,31
2,1024,800,64,2,2,0.693711,31,31
2,1024,800,64,2,4,0.405725,31,31
2,1024,800,64,2,8,0.251938,31,31
2,1024,800,64,4,2,0.426961,31,31
2,1024,800,64,4,4,0.270014,31,32
2,1024,800,64,8,2,0.374787,32,32
8,-1,800,-1,-1,-1,0.323628,32,32
8,128,800,2,2,2,2.521228,32,32
8,128,800,2,2,4,1.385657,32,32
8,128,800,2,2,8,0.800174,32,32
8,128,800,2,2,16,0.481043,32,32
8,128,800,2,2,32,0.323846,32,32
8,128,800,2,2,64,0.28438,32,32
8,128,800,2,4,2,1.482401,32,32
8,128,800,2,4,4,0.806072,32,32
8,128,800,2,4,8,0.498486,32,32
8,128,800,2,4,16,0.368426,32,32
8,128,800,2,4,32,0.306223,32,32
8,128,800,2,4,64,0.279629,32,32
8,128,800,2,8,2,0.946598,32,32
8,128,800,2,8,4,0.524458,32,32
8,128,800,2,8,8,0.371955,32,32
8,128,800,2,8,16,0.352455,32,32
8,128,800,2,8,32,0.318147,32,32
8,128,800,2,8,64,0.318655,32,32
8,128,800,2,16,2,1.293994,32,32
8,128,800,2,16,4,0.790939,32,32
8,128,800,2,16,8,0.558445,32,32
8,128,800,2,16,16,0.514699,32,32
8,128,800,2,16,32,0.398222,32,32
8,128,800,2,32,2,2.465623,32,32
8,128,800,2,32,4,1.465342,32,32
8,128,800,2,32,8,0.805048,32,32
8,128,800,2,32,16,0.551252,32,32
8,128,800,2,64,2,3.135412,32,32
8,128,800,2,64,4,1.598794,31,31
8,128,800,2,64,8,0.789483,31,31
8,128,800,4,2,2,1.384073,31,31
8,128,800,4,2,4,0.745892,31,31
8,128,800,4,2,8,0.447409,31,31
8,128,800,4,2,16,0.334038,31,31
8,128,800,4,2,32,0.276979,31,31
8,128,800,4,2,64,0.252668,31,31
8,128,800,4,4,2,0.946795,31,30
8,128,800,4,4,4,0.514031,30,30
8,128,800,4,4,8,0.356644,30,30
8,128,800,4,4,16,0.337028,30,30
8,128,800,4,4,32,0.269587,30,31
8,128,800,4,4,64,0.261792,31,31
8,128,800,4,8,2,0.810103,31,31
8,128,800,4,8,4,0.498203,31,31
8,128,800,4,8,8,0.419415,31,31
8,128,800,4,8,16,0.347478,31,31
8,128,800,4,8,32,0.296846,31,31
8,128,800,4,16,2,1.850259,31,31
8,128,800,4,16,4,1.026495,31,31
8,128,800,4,16,8,0.563593,31,31
8,128,800,4,16,16,0.444611,31,32
8,128,800,4,32,2,2.265458,32,32
8,128,800,4,32,4,1.506858,32,32
8,128,800,4,32,8,0.814674,32,32
8,128,800,4,64,2,3.184306,32,32
8,128,800,4,64,4,1.661325,32,32
8,128,800,8,2,2,0.948802,32,32
8,128,800,8,2,4,0.518987,32,32
8,128,800,8,2,8,0.364452,32,32
8,128,800,8,2,16,0.328801,32,32
8,128,800,8,2,32,0.283519,32,32
8,128,800,8,2,64,0.29394,32,32
8,128,800,8,4,2,0.819297,32,32
8,128,800,8,4,4,0.514573,32,32
8,128,800,8,4,8,0.420083,32,32
8,128,800,8,4,16,0.361938,32,32
8,128,800,8,4,32,0.28496,32,32
8,128,800,8,8,2,1.806578,32,32
8,128,800,8,8,4,0.922509,32,32
8,128,800,8,8,8,0.517312,32,32
8,128,800,8,8,16,0.338807,32,32
8,128,800,8,16,2,1.851688,32,32
8,128,800,8,16,4,1.000221,32,32
8,128,800,8,16,8,0.531316,32,32
8,128,800,8,32,2,2.326422,32,32
8,128,800,8,32,4,1.504164,32,32
8,128,800,8,64,2,3.196801,32,32
8,128,800,16,2,2,1.427673,32,32
8,128,800,16,2,4,0.813327,32,32
8,128,800,16,2,8,0.509484,32,32
8,128,800,16,2,16,0.409238,32,32
8,128,800,16,2,32,0.330811,32,32
8,128,800,16,4,2,1.977287,32,32
8,128,800,16,4,4,0.983377,32,32
8,128,800,16,4,8,0.520205,32,32
8,128,800,16,4,16,0.318084,32,32
8,128,800,16,8,2,1.795882,32,32
8,128,800,16,8,4,0.858886,32,32
8,128,800,16,8,8,0.456784,32,31
8,128,800,16,16,2,1.828838,31,31
8,128,800,16,16,4,0.991462,31,31
8,128,800,16,32,2,2.211904,31,31
8,128,800,32,2,2,2.451004,31,31
8,128,800,32,2,4,1.242748,31,31
8,128,800,32,2,8,0.590414,31,31
8,128,800,32,2,16,0.293763,31,31
8,128,800,32,4,2,2.044763,31,31
8,128,800,32,4,4,0.917912,31,31
8,128,800,32,4,8,0.434782,31,30
8,128,800,32,8,2,1.750987,30,30
8,128,800,32,8,4,0.843313,30,30
8,128,800,32,16,2,1.794892,30,30
8,128,800,64,2,2,2.419563,30,30
8,128,800,64,2,4,1.024407,30,30
8,128,800,64,2,8,0.450907,30,30
8,128,800,64,4,2,1.869926,30,30
8,128,800,64,4,4,0.903226,30,31
8,128,800,64,8,2,1.803252,31,31
8,256,800,2,2,2,4.765846,31,31
8,256,800,2,2,4,2.609838,31,31
8,256,800,2,2,8,1.520418,31,31
8,256,800,2,2,16,0.846654,31,31
8,256,800,2,2,32,0.470206,31,31
8,256,800,2,2,64,0.303844,31,31
8,256,800,2,4,2,2.511551,31,31
8,256,800,2,4,4,1.385468,31,31
8,256,800,2,4,8,0.819627,31,31
8,256,800,2,4,16,0.489248,31,31
8,256,800,2,4,32,0.312833,31,31
8,256,800,2,4,64,0.270747,31,31
8,256,800,2,8,2,1.479293,31,31
8,256,800,2,8,4,0.816905,31,31
8,256,800,2,8,8,0.48084,31,31
8,256,800,2,8,16,0.331503,31,31
8,256,800,2,8,32,0.27256,31,31
8,256,800,2,8,64,0.269546,31,31
8,256,800,2,16,2,0.967908,31,31
8,256,800,2,16,4,0.530327,31,31
8,256,800,2,16,8,0.340282,31,32
8,256,800,2,16,16,0.335971,32,32
8,256,800,2,16,32,0.306072,32,32
8,256,800,2,32,2,1.13813,32,32
8,256,800,2,32,4,0.605404,32,32
8,256,800,2,32,8,0.397495,32,32
8,256,800,2,32,16,0.484855,32,32
8,256,800,2,64,2,2.070918,32,32
8,256,800,2,64,4,1.066427,32,32
8,256,800,2,64,8,0.764336,32,32
8,256,800,4,2,2,2.425461,32,32
8,256,800,4,2,4,1.292931,32,32
8,256,800,4,2,8,0.737247,32,32
8,256,800,4,2,16,0.448641,32,32
8,256,800,4,2,32,0.299441,32,32
8,256,800,4,2,64,0.267056,32,32
8,256,800,4,4,2,1.378312,32,32
8,256,800,4,4,4,0.754969,32,31
8,256,800,4,4,8,0.444928,31,31
8,256,800,4,4,16,0.332684,31,31
8,256,800,4,4,32,0.272366,31,31
8,256,800,4,4,64,0.255506,31,31
8,256,800,4,8,2,0.959635,31,31
8,256,800,4,8,4,0.515956,31,31
8,256,800,4,8,8,0.323019,31,31
8,256,800,4,8,16,0.289933,31,30
8,256,800,4,8,32,0.260857,30,30
8,256,800,4,16,2,0.784752,30,30
8,256,800,4,16,4,0.442014,30,30
8,256,800,4,16,8,0.370466,30,30
8,256,800,4,16,16,0.320475,30,30
8,256,800,4,32,2,1.665791,30,30
8,256,800,4,32,4,0.88434,31,31
8,256,800,4,32,8,0.506144,31,31
8,256,800,4,64,2,2.131325,31,31
8,256,800,4,64,4,1.385179,31,31
8,256,800,8,2,2,1.382067,31,31
8,256,800,8,2,4,0.759501,31,31
8,256,800,8,2,8,0.449812,31,31
8,256,800,8,2,16,0.328865,31,31
8,256,800,8,2,32,0.2677,31,31
8,256,800,8,2,64,0.265541,31,31
8,256,800,8,4,2,0.958417,31,31
8,256,800,8,4,4,0.517384,32,31
8,256,800,8,4,8,0.339393,31,31
8,256,800,8,4,16,0.294769,31,31
8,256,800,8,4,32,0.256415,31,31
8,256,800,8,8,2,0.774436,31,31
8,256,800,8,8,4,0.422279,31,31
8,256,800,8,8,8,0.348288,31,31
8,256,800,8,8,16,0.313076,31,31
8,256,800,8,16,2,1.457648,31,31
8,256,800,8,16,4,0.76727,31,31
8,256,800,8,16,8,0.438111,31,31
8,256,800,8,32,2,1.762068,31,31
8,256,800,8,32,4,0.949213,31,31
8,256,800,8,64,2,2.070044,31,31
8,256,800,16,2,2,0.969749,31,31
8,256,800,16,2,4,0.524883,31,31
8,256,800,16,2,8,0.337877,31,32
8,256,800,16,2,16,0.313507,32,32
8,256,800,16,2,32,0.274982,32,32
8,256,800,16,4,2,0.781189,32,32
8,256,800,16,4,4,0.441872,32,32
8,256,800,16,4,8,0.341901,32,32
8,256,800,16,4,16,0.286232,32,32
8,256,800,16,8,2,1.33463,32,32
8,256,800,16,8,4,0.711238,32,32
8,256,800,16,8,8,0.406486,32,32
8,256,800,16,16,2,1.594159,32,32
8,256,800,16,16,4,0.783994,32,32
8,256,800,16,32,2,1.620839,32,32
8,256,800,32,2,2,1.088714,32,32
8,256,800,32,2,4,0.664906,32,32
8,256,800,32,2,8,0.428976,32,32
8,256,800,32,2,16,0.274035,32,32
8,256,800,32,4,2,1.606385,32,32
8,256,800,32,4,4,0.769966,32,32
8,256,800,32,4,8,0.388084,32,31
8,256,800,32,8,2,1.566325,31,31
8,256,800,32,8,4,0.776906,31,31
8,256,800,32,16,2,1.565787,31,31
8,256,800,64,2,2,1.881416,31,31
8,256,800,64,2,4,0.795402,31,31
8,256,800,64,2,8,0.380871,31,31
8,256,800,64,4,2,1.614613,31,31
8,256,800,64,4,4,0.809355,31,31
8,256,800,64,8,2,1.60818,31,31
8,512,800,2,2,2,9.857523,31,30
8,512,800,2,2,4,5.404852,30,30
8,512,800,2,2,8,3.064247,30,30
8,512,800,2,2,16,1.681158,30,31
8,512,800,2,2,32,0.875397,31,31
8,512,800,2,2,64,0.488348,31,31
8,512,800,2,4,2,5.112902,31,31
8,512,800,2,4,4,2.783893,31,31
