so,thread_limit,x,y,z,execution time,speedup
16,128,8,1,2,0.472392,1.4537587427390812
16,128,16,1,2,0.473709,1.4497170203648233
16,128,32,1,2,0.477164,1.4392200585123773
16,128,64,1,2,0.479494,1.4322264720726434
16,128,32,2,2,0.487486,1.4087460973238206
