1,1,1,-0.093795
1,1,6,-0.046478
1,1,11,-0.036016
1,1,16,-0.036364
1,1,21,-0.053114
1,1,26,-0.034759
1,1,31,-0.028250
1,1,36,-0.039957
1,1,41,-0.016294
1,1,46,-0.046868
1,6,1,0.500626
1,6,6,0.477527
1,6,11,0.228443
1,6,16,0.006957
1,6,21,0.077928
1,6,26,0.045377
1,6,31,0.051005
1,6,36,-0.007379
1,6,41,0.030743
1,6,46,-0.002612
1,11,1,1.180287
1,11,6,0.491967
1,11,11,0.244729
1,11,16,0.014163
1,11,21,0.080088
1,11,26,0.046819
1,11,31,0.044902
1,11,36,-0.003705
1,11,41,0.040891
1,11,46,-0.006574
1,16,1,1.789743
1,16,6,0.485989
1,16,11,0.253556
1,16,16,0.017119
1,16,21,0.081268
1,16,26,0.059801
1,16,31,0.050049
1,16,36,0.002224
1,16,41,0.035990
1,16,46,-0.007009
1,21,1,2.584022
1,21,6,0.500919
1,21,11,0.247094
1,21,16,0.015045
1,21,21,0.071238
1,21,26,0.041613
1,21,31,0.043100
1,21,36,-0.004360
1,21,41,0.031005
1,21,46,-0.004240
1,26,1,3.306119
1,26,6,0.509632
1,26,11,0.250980
1,26,16,0.018691
1,26,21,0.075796
1,26,26,0.059919
1,26,31,0.044751
1,26,36,-0.006390
1,26,41,0.028808
1,26,46,-0.005881
1,31,1,4.034917
1,31,6,0.491426
1,31,11,0.254069
1,31,16,0.021569
1,31,21,0.075771
1,31,26,0.057091
1,31,31,0.046380
1,31,36,-0.004024
1,31,41,0.031072
1,31,46,-0.002583
1,36,1,4.236245
1,36,6,0.501975
1,36,11,0.248021
1,36,16,0.019145
1,36,21,0.079314
1,36,26,0.045672
1,36,31,0.041840
1,36,36,-0.000145
1,36,41,0.032413
1,36,46,-0.006011
1,41,1,4.750146
1,41,6,0.509317
1,41,11,0.244942
1,41,16,0.019542
1,41,21,0.084378
1,41,26,0.057472
1,41,31,0.056324
1,41,36,-0.004383
1,41,41,0.032350
1,41,46,-0.002878
1,46,1,4.381536
1,46,6,0.501316
1,46,11,0.244259
1,46,16,0.022292
1,46,21,0.078388
1,46,26,0.054899
1,46,31,0.051643
1,46,36,0.002113
1,46,41,0.032859
1,46,46,-0.006475
6,1,1,0.705183
6,1,6,0.806515
6,1,11,0.426970
6,1,16,0.055284
6,1,21,0.167623
6,1,26,0.094883
6,1,31,0.067933
6,1,36,0.003626
6,1,41,0.041952
6,1,46,-0.000599
6,6,1,4.211536
6,6,6,0.498735
6,6,11,0.247568
6,6,16,0.014530
6,6,21,0.081863
6,6,26,0.051939
6,6,31,0.048305
6,6,36,-0.006884
6,6,41,0.027799
6,6,46,-0.004858
6,11,1,7.407740
6,11,6,0.501339
6,11,11,0.243544
6,11,16,0.023978
6,11,21,0.085353
6,11,26,0.052153
6,11,31,0.054392
6,11,36,0.003592
6,11,41,0.028736
6,11,46,-0.005945
6,16,1,11.477674
6,16,6,0.492612
6,16,11,0.244838
6,16,16,0.013469
6,16,21,0.085646
6,16,26,0.051663
6,16,31,0.053794
6,16,36,-0.000096
6,16,41,0.028556
6,16,46,-0.000373
6,21,1,15.435215
6,21,6,0.498588
6,21,11,0.250425
6,21,16,0.018384
6,21,21,0.085582
6,21,26,0.055449
6,21,31,0.045500
6,21,36,-0.005302
6,21,41,0.035683
6,21,46,-0.005338
6,26,1,16.037854
6,26,6,0.493731
6,26,11,0.249170
6,26,16,0.021371
6,26,21,0.083240
6,26,26,0.051352
6,26,31,0.045967
6,26,36,0.002929
6,26,41,0.031740
6,26,46,-0.005290
6,31,1,16.218975
6,31,6,0.500527
6,31,11,0.252417
6,31,16,0.019382
6,31,21,0.078568
6,31,26,0.053651
6,31,31,0.046491
6,31,36,-0.002429
6,31,41,0.032201
6,31,46,-0.003464
6,36,1,15.971068
6,36,6,0.488615
6,36,11,0.245900
6,36,16,0.013005
6,36,21,0.076298
6,36,26,0.048781
6,36,31,0.045899
6,36,36,0.000650
6,36,41,0.030009
6,36,46,0.000621
6,41,1,16.803351
6,41,6,0.491854
6,41,11,0.250788
6,41,16,0.025882
6,41,21,0.080309
6,41,26,0.052776
6,41,31,0.049146
