so,thread_limit,x,y,z,execution time,speedup
2,256,4,4,64,0.141173,1.2738483987731366
2,256,2,8,64,0.142567,1.2613928889574726
2,256,8,4,32,0.144396,1.2454153854677414
2,256,4,8,32,0.144588,1.2437615846404957
2,128,4,2,64,0.145824,1.2332194974764097
8,128,4,2,64,0.252668,1.28084284515649
8,256,4,4,64,0.255506,1.266616048155425
8,512,8,2,64,0.256263,1.262874468807436
8,256,8,4,32,0.256415,1.2621258506717628
8,512,16,2,32,0.256526,1.2615797229130772
16,256,4,8,32,0.464897,1.6058610832076783
16,256,8,8,16,0.465438,1.6039945169925962
16,128,8,8,16,0.465688,1.6031334283898233
16,128,16,4,16,0.474994,1.5717251165277877
16,128,4,4,32,0.476654,1.5662514108766525
