so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
2,256,800,2,16,32,0.147926,38,38
2,256,800,2,32,2,0.452659,38,38
2,256,800,2,32,4,0.266693,38,38
2,256,800,2,32,8,0.18588,38,38
2,256,800,2,32,16,0.151985,38,38
2,256,800,2,64,2,0.354383,38,38
2,256,800,2,64,4,0.221205,38,38
2,256,800,2,64,8,0.160547,38,38
2,256,800,4,2,2,2.703431,38,39
2,256,800,4,2,4,1.367506,39,39
2,256,800,4,2,8,0.716821,39,39
2,256,800,4,2,16,0.383257,38,38
2,256,800,4,2,32,0.23237,38,38
2,256,800,4,2,64,0.174232,38,38
2,256,800,4,4,2,1.372168,38,38
2,256,800,4,4,4,0.720045,38,38
2,256,800,4,4,8,0.38629,38,38
2,256,800,4,4,16,0.232719,38,38
2,256,800,4,4,32,0.175752,38,38
2,256,800,4,4,64,0.146548,38,38
2,256,800,4,8,2,0.736357,38,38
2,256,800,4,8,4,0.393158,38,38
2,256,800,4,8,8,0.238711,38,38
2,256,800,4,8,16,0.176872,38,38
2,256,800,4,8,32,0.147709,38,38
2,256,800,4,16,2,0.439496,38,38
2,256,800,4,16,4,0.25814,38,38
2,256,800,4,16,8,0.182883,38,38
2,256,800,4,16,16,0.149636,38,38
2,256,800,4,32,2,0.344059,38,38
2,256,800,4,32,4,0.213873,38,38
2,256,800,4,32,8,0.157945,38,38
2,256,800,4,64,2,0.316473,38,38
2,256,800,4,64,4,0.202144,38,38
2,256,800,8,2,2,1.376861,38,39
2,256,800,8,2,4,0.72157,39,39
2,256,800,8,2,8,0.38497,39,39
2,256,800,8,2,16,0.231986,39,39
2,256,800,8,2,32,0.174661,39,39
2,256,800,8,2,64,0.145995,39,39
2,256,800,8,4,2,0.736447,39,39
2,256,800,8,4,4,0.393269,39,39
2,256,800,8,4,8,0.237828,39,39
2,256,800,8,4,16,0.175991,39,39
2,256,800,8,4,32,0.146988,39,39
2,256,800,8,8,2,0.440131,39,39
2,256,800,8,8,4,0.257229,39,39
2,256,800,8,8,8,0.181116,39,38
2,256,800,8,8,16,0.148985,38,38
2,256,800,8,16,2,0.336365,38,38
2,256,800,8,16,4,0.2088,38,38
2,256,800,8,16,8,0.153947,38,38
2,256,800,8,32,2,0.309292,38,38
2,256,800,8,32,4,0.191302,38,38
2,256,800,8,64,2,0.309319,38,38
2,256,800,16,2,2,0.756671,38,38
2,256,800,16,2,4,0.40149,38,38
2,256,800,16,2,8,0.240364,38,38
2,256,800,16,2,16,0.174855,38,38
2,256,800,16,2,32,0.146197,37,37
2,256,800,16,4,2,0.456571,37,37
2,256,800,16,4,4,0.258656,37,37
2,256,800,16,4,8,0.179942,37,37
2,256,800,16,4,16,0.1479,37,37
2,256,800,16,8,2,0.337291,37,37
2,256,800,16,8,4,0.207056,37,37
2,256,800,16,8,8,0.153007,37,37
2,256,800,16,16,2,0.303786,37,37
2,256,800,16,16,4,0.18493,37,37
2,256,800,16,32,2,0.299507,37,38
2,256,800,32,2,2,0.701854,38,38
2,256,800,32,2,4,0.330397,38,38
2,256,800,32,2,8,0.185949,38,38
2,256,800,32,2,16,0.148556,38,38
2,256,800,32,4,2,0.42186,38,38
2,256,800,32,4,4,0.214525,38,38
2,256,800,32,4,8,0.154199,38,38
2,256,800,32,8,2,0.306325,38,38
2,256,800,32,8,4,0.184857,38,38
2,256,800,32,16,2,0.294501,38,38
2,256,800,64,2,2,0.730072,38,38
2,256,800,64,2,4,0.301686,38,38
2,256,800,64,2,8,0.160551,38,38
2,256,800,64,4,2,0.392357,38,38
2,256,800,64,4,4,0.192602,38,38
2,256,800,64,8,2,0.29431,38,38
2,512,800,2,2,2,11.583134,38,40
2,512,800,2,2,4,5.857298,40,41
2,512,800,2,2,8,2.948276,40,41
2,512,800,2,2,16,1.527165,40,40
2,512,800,2,2,32,0.789537,40,40
2,512,800,2,2,64,0.430747,40,40
2,512,800,2,4,2,5.852588,39,40
2,512,800,2,4,4,2.956025,40,41
2,512,800,2,4,8,1.528821,40,40
2,512,800,2,4,16,0.779118,40,40
2,512,800,2,4,32,0.432384,40,40
2,512,800,2,4,64,0.260924,40,40
2,512,800,2,8,2,2.958703,39,40
2,512,800,2,8,4,1.534092,40,40
2,512,800,2,8,8,0.784187,40,40
2,512,800,2,8,16,0.429608,40,40
2,512,800,2,8,32,0.261797,40,39
2,512,800,2,8,64,0.188365,39,39
2,512,800,2,16,2,1.556227,39,40
2,512,800,2,16,4,0.801205,39,39
2,512,800,2,16,8,0.433514,39,39
2,512,800,2,16,16,0.260441,39,39
2,512,800,2,16,32,0.190032,39,39
2,512,800,2,32,2,0.855392,39,39
2,512,800,2,32,4,0.4532,39,39
2,512,800,2,32,8,0.268956,39,38
2,512,800,2,32,16,0.193545,38,38
2,512,800,2,64,2,0.509989,38,38
2,512,800,2,64,4,0.295019,38,38
2,512,800,2,64,8,0.200135,38,38
2,512,800,4,2,2,5.857993,38,39
2,512,800,4,2,4,2.958864,39,39
2,512,800,4,2,8,1.529854,39,39
2,512,800,4,2,16,0.77925,38,38
2,512,800,4,2,32,0.431228,38,38
2,512,800,4,2,64,0.260071,38,38
2,512,800,4,4,2,2.954957,38,39
2,512,800,4,4,4,1.531912,38,39
2,512,800,4,4,8,0.78289,38,39
2,512,800,4,4,16,0.42755,38,38
2,512,800,4,4,32,0.260505,38,38
2,512,800,4,4,64,0.187112,38,38
2,512,800,4,8,2,1.552322,38,39
2,512,800,4,8,4,0.799148,38,39
2,512,800,4,8,8,0.431695,39,38
2,512,800,4,8,16,0.259367,38,38
2,512,800,4,8,32,0.188266,38,38
2,512,800,4,16,2,0.839868,38,38
2,512,800,4,16,4,0.444178,38,38
2,512,800,4,16,8,0.263137,38,38
2,512,800,4,16,16,0.18944,38,38
2,512,800,4,32,2,0.503461,38,38
2,512,800,4,32,4,0.29059,38,38
2,512,800,4,32,8,0.19766,38,38
2,512,800,4,64,2,0.35697,38,38
2,512,800,4,64,4,0.216675,38,38
2,512,800,8,2,2,2.969259,38,38
2,512,800,8,2,4,1.536548,38,39
2,512,800,8,2,8,0.785563,38,38
2,512,800,8,2,16,0.428175,38,38
2,512,800,8,2,32,0.260265,38,38
2,512,800,8,2,64,0.187229,38,38
2,512,800,8,4,2,1.552563,38,39
2,512,800,8,4,4,0.79854,38,39
2,512,800,8,4,8,0.431472,38,38
2,512,800,8,4,16,0.258701,38,38
2,512,800,8,4,32,0.187315,38,38
2,512,800,8,8,2,0.838561,38,39
2,512,800,8,8,4,0.443792,38,39
2,512,800,8,8,8,0.262144,38,39
2,512,800,8,8,16,0.18875,38,38
2,512,800,8,16,2,0.494193,38,39
2,512,800,8,16,4,0.286857,39,39
2,512,800,8,16,8,0.195075,39,39
2,512,800,8,32,2,0.351134,39,39
2,512,800,8,32,4,0.215835,39,39
2,512,800,8,64,2,0.30251,39,39
2,512,800,16,2,2,1.572968,39,39
2,512,800,16,2,4,0.809393,39,39
2,512,800,16,2,8,0.435459,39,39
2,512,800,16,2,16,0.258722,39,39
2,512,800,16,2,32,0.187308,39,39
2,512,800,16,4,2,0.837002,39,39
2,512,800,16,4,4,0.443624,39,39
2,512,800,16,4,8,0.262683,39,39
2,512,800,16,4,16,0.188727,39,39
2,512,800,16,8,2,0.493355,39,39
2,512,800,16,8,4,0.286364,39,39
2,512,800,16,8,8,0.195305,38,38
2,512,800,16,16,2,0.346474,38,38
2,512,800,16,16,4,0.213613,38,38
2,512,800,16,32,2,0.297864,38,38
2,512,800,32,2,2,0.869588,38,38
2,512,800,32,2,4,0.459656,38,38
2,512,800,32,2,8,0.268393,38,38
2,512,800,32,2,16,0.191219,38,38
2,512,800,32,4,2,0.507152,38,38
2,512,800,32,4,4,0.287293,38,38
2,512,800,32,4,8,0.196839,37,37
2,512,800,32,8,2,0.352365,37,37
2,512,800,32,8,4,0.214918,37,37
2,512,800,32,16,2,0.29422,37,37
2,512,800,64,2,2,0.721563,37,38
2,512,800,64,2,4,0.334716,37,38
2,512,800,64,2,8,0.202528,38,38
2,512,800,64,4,2,0.431912,38,38
2,512,800,64,4,4,0.222337,38,38
2,512,800,64,8,2,0.305071,38,38
2,1024,800,2,2,2,27.877873,38,41
2,1024,800,2,2,4,13.975714,41,42
2,1024,800,2,2,8,7.028196,42,42
2,1024,800,2,2,16,3.552352,42,41
2,1024,800,2,2,32,1.821426,41,41
2,1024,800,2,2,64,0.94458,41,40
2,1024,800,2,4,2,13.946099,40,42
2,1024,800,2,4,4,7.050439,41,42
2,1024,800,2,4,8,3.554922,41,41
2,1024,800,2,4,16,1.80304,41,41
2,1024,800,2,4,32,0.948422,41,40
2,1024,800,2,4,64,0.514511,40,40
2,1024,800,2,8,2,7.032483,40,41
2,1024,800,2,8,4,3.56136,40,41
2,1024,800,2,8,8,1.811761,40,40
2,1024,800,2,8,16,0.941945,40,40
2,1024,800,2,8,32,0.515632,40,40
2,1024,800,2,8,64,0.303446,40,39
2,1024,800,2,16,2,3.610137,39,40
2,1024,800,2,16,4,1.830336,40,40
2,1024,800,2,16,8,0.949187,40,40
2,1024,800,2,16,16,0.515142,40,40
2,1024,800,2,16,32,0.305098,39,39
2,1024,800,2,32,2,1.915784,39,40
2,1024,800,2,32,4,0.987761,39,40
2,1024,800,2,32,8,0.53142,39,39
2,1024,800,2,32,16,0.310419,39,39
2,1024,800,2,64,2,1.03254,39,39
2,1024,800,2,64,4,0.549122,39,39
2,1024,800,2,64,8,0.314951,39,39
2,1024,800,4,2,2,13.965097,39,41
2,1024,800,4,2,4,7.045031,41,42
2,1024,800,4,2,8,3.556,41,41
2,1024,800,4,2,16,1.803279,41,41
2,1024,800,4,2,32,0.94879,41,40
2,1024,800,4,2,64,0.512931,40,40
2,1024,800,4,4,2,7.118286,40,41
2,1024,800,4,4,4,3.572679,40,40
2,1024,800,4,4,8,1.818876,40,40
2,1024,800,4,4,16,0.946516,40,40
2,1024,800,4,4,32,0.516664,39,39
2,1024,800,4,4,64,0.300333,39,39
2,1024,800,4,8,2,3.639063,38,39
2,1024,800,4,8,4,1.837107,39,39
2,1024,800,4,8,8,0.95511,39,39
2,1024,800,4,8,16,0.516794,38,38
2,1024,800,4,8,32,0.302275,38,38
2,1024,800,4,16,2,1.897188,38,38
2,1024,800,4,16,4,0.975134,38,38
2,1024,800,4,16,8,0.524552,38,38
2,1024,800,4,16,16,0.306827,38,38
2,1024,800,4,32,2,1.038581,38,38
2,1024,800,4,32,4,0.548338,38,38
2,1024,800,4,32,8,0.313835,38,38
2,1024,800,4,64,2,0.60514,38,38
2,1024,800,4,64,4,0.334362,38,38
2,1024,800,8,2,2,7.053533,38,39
2,1024,800,8,2,4,3.565307,39,40
2,1024,800,8,2,8,1.812337,39,39
2,1024,800,8,2,16,0.941978,39,39
2,1024,800,8,2,32,0.514091,39,39
2,1024,800,8,2,64,0.297126,39,39
2,1024,800,8,4,2,3.638368,38,39
2,1024,800,8,4,4,1.835774,39,39
2,1024,800,8,4,8,0.954199,39,39
2,1024,800,8,4,16,0.51568,39,39
2,1024,800,8,4,32,0.299373,38,38
2,1024,800,8,8,2,1.893989,38,39
2,1024,800,8,8,4,0.974491,39,39
2,1024,800,8,8,8,0.524223,39,39
2,1024,800,8,8,16,0.303915,38,38
2,1024,800,8,16,2,1.018849,38,39
2,1024,800,8,16,4,0.539143,38,39
2,1024,800,8,16,8,0.30917,38,38
2,1024,800,8,32,2,0.599092,38,38
2,1024,800,8,32,4,0.333369,38,38
2,1024,800,8,64,2,0.393249,38,39
2,1024,800,16,2,2,3.620706,38,39
2,1024,800,16,2,4,1.837834,39,39
2,1024,800,16,2,8,0.95156,39,39
2,1024,800,16,2,16,0.512555,39,39
2,1024,800,16,2,32,0.298332,39,39
2,1024,800,16,4,2,1.895816,39,39
2,1024,800,16,4,4,0.974522,39,39
2,1024,800,16,4,8,0.523846,39,39
2,1024,800,16,4,16,0.303161,39,39
2,1024,800,16,8,2,1.018848,39,39
2,1024,800,16,8,4,0.539541,39,39
2,1024,800,16,8,8,0.309501,39,39
2,1024,800,16,16,2,0.588525,39,39
2,1024,800,16,16,4,0.329021,39,39
2,1024,800,16,32,2,0.391026,39,39
2,1024,800,32,2,2,1.928763,39,39
2,1024,800,32,2,4,0.992566,39,39
2,1024,800,32,2,8,0.530485,39,39
2,1024,800,32,2,16,0.306371,39,39
2,1024,800,32,4,2,1.040313,39,39
2,1024,800,32,4,4,0.548665,39,39
2,1024,800,32,4,8,0.313911,39,39
2,1024,800,32,8,2,0.596144,38,39
2,1024,800,32,8,4,0.333887,38,38
2,1024,800,32,16,2,0.391441,38,38
2,1024,800,64,2,2,1.053422,38,38
2,1024,800,64,2,4,0.554022,38,38
2,1024,800,64,2,8,0.313813,38,38
2,1024,800,64,4,2,0.602007,38,38
2,1024,800,64,4,4,0.334974,38,38
2,1024,800,64,8,2,0.393775,38,38
8,-1,800,-1,-1,-1,0.418903,38,38
8,128,800,2,2,2,7.978759,38,39
8,128,800,2,2,4,4.141529,38,39
8,128,800,2,2,8,2.158973,39,39
8,128,800,2,2,16,1.114621,39,39
8,128,800,2,2,32,0.59557,38,38
8,128,800,2,2,64,0.490521,38,38
8,128,800,2,4,2,4.193428,38,39
8,128,800,2,4,4,2.184236,39,39
8,128,800,2,4,8,1.141254,39,39
8,128,800,2,4,16,0.603474,39,39
8,128,800,2,4,32,0.500762,39,39
8,128,800,2,4,64,0.449176,39,39
8,128,800,2,8,2,2.312153,38,39
8,128,800,2,8,4,1.200914,39,39
8,128,800,2,8,8,0.639896,39,39
8,128,800,2,8,16,0.505436,38,38
8,128,800,2,8,32,0.450768,38,38
8,128,800,2,8,64,0.431519,38,38
8,128,800,2,16,2,1.346466,38,38
8,128,800,2,16,4,0.700691,38,38
8,128,800,2,16,8,0.523246,38,38
8,128,800,2,16,16,0.457056,38,38
8,128,800,2,16,32,0.439998,38,38
8,128,800,2,32,2,0.939417,38,38
8,128,800,2,32,4,0.584757,38,38
8,128,800,2,32,8,0.482266,38,38
8,128,800,2,32,16,0.451369,38,38
8,128,800,2,64,2,0.817515,38,39
8,128,800,2,64,4,0.521695,38,39
8,128,800,2,64,8,0.468633,38,39
8,128,800,4,2,2,3.769375,38,39
8,128,800,4,2,4,1.960809,39,39
8,128,800,4,2,8,1.039395,39,39
8,128,800,4,2,16,0.560217,39,39
8,128,800,4,2,32,0.479834,39,39
8,128,800,4,2,64,0.425423,39,39
8,128,800,4,4,2,2.078005,39,39
8,128,800,4,4,4,1.101488,39,39
8,128,800,4,4,8,0.586383,39,39
8,128,800,4,4,16,0.481443,39,39
8,128,800,4,4,32,0.427223,39,39
8,128,800,4,4,64,0.409553,39,39
8,128,800,4,8,2,1.285028,39,39
8,128,800,4,8,4,0.672961,39,39
8,128,800,4,8,8,0.504919,39,39
8,128,800,4,8,16,0.43009,39,39
8,128,800,4,8,32,0.40619,39,39
8,128,800,4,16,2,0.923996,39,39
8,128,800,4,16,4,0.555377,39,39
8,128,800,4,16,8,0.445797,39,39
8,128,800,4,16,16,0.420332,39,39
8,128,800,4,32,2,0.801601,38,38
8,128,800,4,32,4,0.496971,38,38
8,128,800,4,32,8,0.436818,38,38
8,128,800,4,64,2,0.746639,38,38
8,128,800,4,64,4,0.475683,38,38
8,128,800,8,2,2,2.053003,38,38
8,128,800,8,2,4,1.085653,38,38
8,128,800,8,2,8,0.579936,38,38
8,128,800,8,2,16,0.448932,38,38
8,128,800,8,2,32,0.414921,38,38
8,128,800,8,2,64,0.390102,38,38
8,128,800,8,4,2,1.240676,38,38
8,128,800,8,4,4,0.65627,38,38
8,128,800,8,4,8,0.470893,38,38
8,128,800,8,4,16,0.413882,38,38
8,128,800,8,4,32,0.388798,38,38
8,128,800,8,8,2,0.903009,38,38
8,128,800,8,8,4,0.539574,38,38
8,128,800,8,8,8,0.431267,38,38
8,128,800,8,8,16,0.398969,38,38
8,128,800,8,16,2,0.79046,38,39
8,128,800,8,16,4,0.479371,38,38
8,128,800,8,16,8,0.421591,38,38
8,128,800,8,32,2,0.734153,38,38
8,128,800,8,32,4,0.464428,38,38
8,128,800,8,64,2,0.715349,38,38
8,128,800,16,2,2,1.240486,38,38
8,128,800,16,2,4,0.652521,38,38
8,128,800,16,2,8,0.476506,38,38
8,128,800,16,2,16,0.412211,38,38
8,128,800,16,2,32,0.380321,38,38
8,128,800,16,4,2,0.88636,38,38
8,128,800,16,4,4,0.53375,38,38
8,128,800,16,4,8,0.43192,38,38
8,128,800,16,4,16,0.382884,38,38
8,128,800,16,8,2,0.783255,38,38
8,128,800,16,8,4,0.471795,38,38
8,128,800,16,8,8,0.406943,38,38
8,128,800,16,16,2,0.724305,38,38
8,128,800,16,16,4,0.45139,38,38
8,128,800,16,32,2,0.703063,38,38
8,128,800,32,2,2,1.038892,38,39
8,128,800,32,2,4,0.540482,39,39
8,128,800,32,2,8,0.432739,39,39
8,128,800,32,2,16,0.390181,39,39
8,128,800,32,4,2,0.780619,39,39
8,128,800,32,4,4,0.473548,39,39
8,128,800,32,4,8,0.410373,39,39
8,128,800,32,8,2,0.721558,39,39
8,128,800,32,8,4,0.449397,39,39
8,128,800,32,16,2,0.695075,39,39
8,128,800,64,2,2,1.079712,39,39
8,128,800,64,2,4,0.482863,39,39
8,128,800,64,2,8,0.410997,39,39
8,128,800,64,4,2,0.719233,39,39
